o_time,longitud,latitud,profundidad, nro_est, rms, gap, modelo_vel, error_longitud,error_latitud,error_prof, operador,the_mags
2020-12-04 02:17:46, -69.100, -26.372, 111.4, 9, 0.3, 130, C, 4.4, 2.7, 4.9, Jere, 3.4 L 
2020-12-04 04:06:18, -66.815, -24.194, 203.3, 8, 0.3, 199, 1, 5.3, 5.0, 8.1, tito, 5.1 L 5.1 Mw 
2020-12-04 04:18:21, -67.167, -24.136, 166.4, 11, 0.3, 165, 0, 5.0, 10.5, 13.5, caro, 3.8 L 
2020-12-04 05:12:58, -70.144, -31.932, 122.5, 24, 0.3, 175, C, 9.0, 1.7, 6.5, caro, 3.4 L 
2020-12-04 20:03:13, -71.214, -18.450, 27.0, 8, 0.3, 272, p, 4.5, 3.0, 4.0, cris, 3.1 L 
2020-12-05 06:48:36, -58.873, -62.469, 10.0, , , , , , , , PYTH, 4.8 L 
2020-12-05 07:06:58, -58.174, -62.234, 10.0, , , , , , , , PYTH, 4.3 L 
2020-12-05 07:48:33, -71.500, -19.872, 45.1, 18, 0.3, 264, p, 8.3, 2.5, 22.1, Jere, 3.5 L 
2020-12-05 10:04:43, -71.099, -27.555, 22.3, 12, 0.3, 187, 0, 3.3, 1.8, 4.9, Jere, 3.3 L 
2020-12-05 10:14:43, -67.550, -24.127, 193.2, 8, 0.3, 275, 1, 7.1, 6.4, 7.1, yole, 4.4 L 
2020-12-05 10:32:04, -70.344, -22.390, 58.4, 16, 0.3, 200, p, 4.2, 1.9, 5.7, Jere, 4.3 L 
2020-12-05 13:13:13, -73.416, -36.758, 18.8, 8, 0.3, 268, J, 9.8, 2.7, 6.4, mabs, 3.2 L 
2020-12-05 20:02:50, -68.797, -21.420, 119.6, 16, 0.3, 143, p, 2.8, 1.2, 3.5, cris, 4.2 L 
2020-12-05 22:38:43, -71.308, -28.254, 33.5, 12, 0.3, 216, 3, 4.4, 2.1, 3.2, mabs, 4.4 L 
2020-12-05 22:59:21, -71.211, -28.230, 34.1, 8, 0.2, 250, 3, 3.1, 1.1, 1.3, tark, 3.7 L 
2020-12-06 01:06:50, -71.296, -28.278, 32.3, 16, 0.3, 214, 0, 5.4, 2.9, 3.8, yole, 4.2 L 4.2 Mw 
2020-12-06 02:05:37, -68.972, -21.088, 110.1, 13, 0.2, 207, p, 3.3, 1.2, 3.5, Jere, 3.0 L 
2020-12-06 08:26:01, -70.075, -19.063, 44.1, 10, 0.3, 126, p, 2.3, 1.4, 2.7, Jere, 3.0 L 
2020-12-06 12:21:38, -67.302, -28.575, 142.4, 12, 0.3, 145, 0, 2.8, 3.1, 7.6, eatl, 3.8 L 
2020-12-06 14:48:37, -69.732, -18.256, 130.0, 12, 0.3, 121, p, 3.9, 2.5, 3.9, thor, 3.5 L 
2020-12-06 16:21:08, -71.380, -30.691, 35.8, 15, 0.3, 99, 0, 2.1, 1.2, 1.9, eatl, 3.0 L 
2020-12-06 16:28:34, -72.145, -33.968, 35.9, 15, 0.3, 214, 3, 2.8, 1.7, 2.6, thor, 3.4 L 
2020-12-06 16:47:42, -69.070, -20.358, 108.1, 19, 0.2, 192, p, 3.1, 1.1, 2.6, eatl, 6.1 L 6.1 Mww 
2020-12-06 18:08:55, -69.097, -20.372, 100.1, 10, 0.2, 192, p, 3.1, 1.5, 4.2, eatl, 3.3 L 
2020-12-06 18:17:59, -68.678, -22.959, 107.7, 13, 0.2, 122, Q, 2.5, 1.9, 3.8, eatl, 3.3 L 
2020-12-06 19:34:28, -69.087, -20.369, 106.7, 13, 0.2, 194, p, 2.8, 1.1, 2.8, eatl, 3.4 L 
2020-12-06 22:34:24, -68.773, -21.991, 125.1, 15, 0.2, 142, Q, 2.4, 1.2, 3.3, eatl, 3.5 L 
2020-12-07 00:38:45, -68.825, -29.107, 147.8, 12, 0.3, 209, C, 7.6, 2.7, 11.1, mdur, 3.2 L 
2020-12-07 01:46:51, -71.184, -37.270, 143.5, 9, 0.3, 273, J, 4.9, 4.5, 5.3, jaba, 3.4 L 
2020-12-07 10:00:17, -71.308, -35.487, 104.6, 25, 0.3, 147, J, 4.7, 2.3, 3.4, mdur, 3.2 L 
2020-12-07 11:16:09, -70.358, -31.180, 131.6, 24, 0.2, 173, C, 5.8, 1.6, 4.6, mdur, 3.0 L 
2020-12-07 11:42:29, -67.481, -24.148, 199.5, 10, 0.2, 295, Q, 4.8, 5.7, 9.1, jaba, 4.2 L 
2020-12-07 16:58:31, -71.800, -32.613, 29.2, 31, 0.2, 200, 0, 1.9, 1.0, 2.9, eatl, 3.5 L 
2020-12-07 19:19:22, -69.628, -18.663, 105.3, 16, 0.2, 67, p, 2.5, 1.8, 3.2, eatl, 3.2 L 
2020-12-07 19:53:12, -70.401, -19.210, 68.4, 17, 0.2, 182, p, 3.1, 1.3, 3.2, eatl, 4.1 L 
2020-12-07 20:06:15, -71.114, -32.868, 70.0, 29, 0.3, 112, 3, 2.0, 1.1, 2.4, thor, 4.3 L 
2020-12-07 20:11:39, -70.231, -20.620, 26.1, 13, 0.2, 178, p, 2.5, 0.8, 1.7, eatl, 3.2 L 
2020-12-07 23:11:14, -74.886, -38.034, 17.8, 10, 0.2, 261, 0, 6.9, 1.5, 4.8, eatl, 3.1 L 
2020-12-08 00:52:33, -70.237, -33.661, 120.8, 26, 0.3, 131, 3, 3.1, 1.9, 2.4, mdur, 3.5 L 
2020-12-08 00:54:22, -69.230, -18.300, 166.5, 12, 0.3, 152, p, 4.8, 2.5, 5.1, harz, 3.7 L 
2020-12-08 02:55:19, -69.972, -18.113, 123.7, 13, 0.3, 81, p, 2.7, 2.0, 3.4, harz, 3.7 L 
2020-12-08 04:58:18, -72.392, -32.862, 39.1, 22, 0.3, 311, 3, 3.9, 3.5, 2.8, harz, 3.3 L 
2020-12-08 05:38:11, -71.187, -28.270, 33.1, 8, 0.3, 218, C, 4.8, 2.4, 2.8, jaba, 3.1 L 
2020-12-08 06:31:15, -68.368, -25.864, 158.9, 13, 0.3, 197, Q, 5.4, 2.0, 9.8, mdur, 3.4 L 
2020-12-08 07:07:20, -71.465, -32.087, 58.4, 36, 0.3, 160, 3, 3.1, 0.9, 3.4, mdur, 5.0 L 5.0 Mw 
2020-12-08 08:39:19, -67.558, -22.323, 190.6, 16, 0.3, 166, Q, 6.1, 2.6, 9.3, mdur, 4.3 L 
2020-12-08 09:29:20, -69.090, -19.972, 97.3, 13, 0.2, 198, p, 3.1, 1.3, 2.7, mdur, 3.4 L 
2020-12-08 11:33:48, -70.068, -19.062, 67.9, 9, 0.2, 154, p, 3.0, 1.5, 5.3, harz, 3.0 L 
2020-12-08 13:57:15, -68.682, -21.883, 125.1, 17, 0.2, 152, p, 2.5, 1.3, 3.4, eatl, 3.3 L 
2020-12-08 16:31:59, -70.088, -24.194, 52.6, 10, 0.2, 145, Q, 1.8, 1.9, 2.7, eatl, 3.2 L 
2020-12-08 16:37:24, -69.480, -23.113, 93.9, 12, 0.3, 85, Q, 2.8, 1.8, 4.3, eatl, 3.1 L 
2020-12-08 16:43:38, -71.306, -28.250, 33.7, 11, 0.3, 216, 1, 3.5, 1.5, 1.8, eatl, 4.2 L 
2020-12-08 17:02:44, -71.636, -31.672, 34.6, 32, 0.2, 188, 3, 2.4, 0.6, 1.6, eatl, 3.1 L 
2020-12-08 20:39:01, -67.994, -22.463, 186.9, 12, 0.3, 264, Q, 7.1, 2.4, 7.3, thor, 3.7 L 
2020-12-08 21:11:40, -68.190, -21.645, 149.8, 12, 0.3, 235, p, 6.7, 2.0, 7.4, thor, 3.5 L 
2020-12-08 23:53:44, -69.016, -27.888, 117.9, 11, 0.3, 112, C, 3.7, 2.4, 6.2, thor, 3.0 L 
